Date,Open,High,Low,Close,Volume,Change Pct
2020-04-16,71.84,72.05,70.59,71.67,157125152,0.79
2020-04-17,71.17,71.74,69.22,70.7,215249920,-1.35
2020-04-20,69.49,70.42,69.21,69.23,130015000,-2.08
2020-04-21,69.07,69.31,66.36,67.09,180991568,-3.09
2020-04-22,68.4,69.47,68.05,69.03,117057368,2.89
2020-04-23,68.97,70.44,68.72,68.76,124814328,-0.39
2020-04-24,69.3,70.75,69.25,70.74,126508736,2.88
2020-04-27,70.45,71.14,69.99,70.79,117087568,0.07
2020-04-28,71.27,71.46,69.55,69.64,112004752,-1.62
2020-04-29,71.18,72.42,70.97,71.93,137280816,3.29
2020-04-30,72.49,73.63,72.09,73.45,183063872,2.11
2020-05-01,71.56,74.75,71.46,72.27,240616704,-1.61
2020-05-04,72.29,73.42,71.58,73.29,133567944,1.41
2020-05-05,73.77,75.25,73.61,74.39,147751184,1.5
2020-05-06,75.11,75.81,74.72,75.16,142333760,1.04
2020-05-07,75.81,76.29,75.49,75.94,115215056,1.04
2020-05-08,76.41,77.59,76.07,77.53,134047936,2.09
2020-05-11,77.03,79.26,76.81,78.75,145946240,1.57
2020-05-12,79.46,79.92,77.73,77.85,162301056,-1.14
2020-05-13,78.04,78.99,75.8,76.91,200622560,-1.21
2020-05-14,76.13,77.45,75.38,77.39,158929072,0.62
2020-05-15,75.09,76.97,75.05,76.93,166348384,-0.59
2020-05-18,78.29,79.12,77.58,78.74,135372496,2.35
2020-05-19,78.76,79.63,78.25,78.28,101729536,-0.58
2020-05-20,79.17,79.88,79.05,79.81,111504864,1.95
2020-05-21,79.67,80.22,78.97,79.21,102688848,-0.75
2020-05-22,78.94,79.81,78.84,79.72,81803016,0.64
2020-05-26,80.88,81.06,79.12,79.18,125521816,-0.68
2020-05-27,79.03,79.68,78.27,79.53,112945096,0.44
2020-05-28,79.19,80.86,78.91,79.56,133796416,0.04
2020-05-29,79.81,80.29,79.12,79.48,153598128,-0.1
2020-06-01,79.44,80.59,79.3,80.46,81018608,1.23
2020-06-02,80.19,80.86,79.73,80.83,87642816,0.46
2020-06-03,81.17,81.55,80.58,81.28,104491216,0.56
2020-06-04,81.1,81.41,80.19,80.58,87560368,-0.86
2020-06-05,80.84,82.94,80.81,82.88,137250208,2.85
2020-06-08,82.56,83.4,81.83,83.36,95654536,0.58
2020-06-09,83.03,86.4,83.0,86.0,147712368,3.17
2020-06-10,86.97,88.69,86.52,88.21,166651744,2.57
2020-06-11,87.33,87.77,83.87,83.97,201662448,-4.81
2020-06-12,86.18,86.95,83.56,84.7,200146048,0.87
2020-06-15,83.31,86.42,83.14,85.75,138808928,1.24
2020-06-16,87.86,88.3,86.18,88.02,165428736,2.65
2020-06-17,88.79,88.85,87.77,87.9,114406504,-0.14
2020-06-18,87.85,88.36,87.31,87.93,96820384,0.03
2020-06-19,88.66,89.14,86.29,87.43,264475808,-0.57
2020-06-22,87.83,89.86,87.79,89.72,135445264,2.62
2020-06-23,91.0,93.09,90.57,91.63,212155472,2.13
2020-06-24,91.25,92.2,89.63,90.02,192623392,-1.76
2020-06-25,90.17,91.25,89.39,91.21,137522512,1.32
2020-06-26,91.1,91.33,88.25,88.41,205256848,-3.07
2020-06-29,88.31,90.54,87.82,90.44,130646080,2.3
2020-06-30,90.02,91.5,90.0,91.2,140223280,0.84
2020-07-01,91.28,91.84,90.98,91.03,110737232,-0.19
2020-07-02,91.96,92.62,90.91,91.03,114041472,0.0
2020-07-06,92.5,93.94,92.47,93.46,118655648,2.67
2020-07-07,93.85,94.66,93.06,93.17,112424456,-0.31
2020-07-08,94.18,95.38,94.09,95.34,117091880,2.33
2020-07-09,96.26,96.32,94.67,95.68,125642608,0.36
2020-07-10,95.33,95.98,94.71,95.92,90257320,0.25
2020-07-13,97.27,99.95,95.26,95.48,191649136,-0.46
2020-07-14,94.84,97.25,93.88,97.06,170989360,1.65
2020-07-15,98.99,99.25,96.49,97.72,153197936,0.68
2020-07-16,96.56,97.41,95.91,96.52,110577672,-1.23
2020-07-17,96.99,97.15,95.84,96.33,92186896,-0.2
2020-07-20,96.42,98.5,96.06,98.36,90317904,2.11
2020-07-21,99.17,99.25,96.74,97.0,103645840,-1.38
2020-07-22,96.69,97.97,96.6,97.27,89001648,0.28
2020-07-23,97.0,97.08,92.01,92.84,197004432,-4.55
2020-07-24,90.99,92.97,89.14,92.61,185438864,-0.25
2020-07-27,93.71,94.91,93.48,94.81,121214192,2.38
2020-07-28,94.37,94.55,93.25,93.25,103625504,-1.65
2020-07-29,93.75,95.23,93.71,95.04,90329256,1.92
2020-07-30,94.19,96.3,93.77,96.19,158130016,1.21
2020-07-31,102.88,106.42,100.83,106.26,374295456,10.47
2020-08-03,108.2,111.64,107.89,108.94,308151392,2.52
2020-08-04,109.13,110.79,108.39,109.67,172792368,0.67
2020-08-05,109.38,110.39,108.9,110.06,121991952,0.36
2020-08-06,110.41,114.41,109.8,113.9,202428896,3.49
2020-08-07,113.2,113.67,110.29,111.11,198045616,-2.45
2020-08-10,112.6,113.78,110.0,112.73,212403424,1.46
2020-08-11,111.97,112.48,109.11,109.38,187902368,-2.97
2020-08-12,110.5,113.28,110.3,113.01,165944816,3.32
2020-08-13,114.43,116.04,113.93,115.01,210082064,1.77
2020-08-14,114.83,115.0,113.05,114.91,165565216,-0.09
2020-08-17,116.06,116.09,113.96,114.61,119561440,-0.26
2020-08-18,114.35,116.0,114.01,115.56,105633536,0.83
2020-08-19,115.98,117.16,115.61,115.71,145538016,0.13
2020-08-20,115.75,118.39,115.73,118.28,126907184,2.22
2020-08-21,119.26,124.87,119.25,124.37,338054656,5.15
2020-08-24,128.7,128.78,123.94,125.86,345937760,1.2
2020-08-25,124.7,125.18,123.05,124.83,211495792,-0.82
2020-08-26,126.18,126.99,125.08,126.52,163022272,1.35
2020-08-27,127.14,127.48,123.83,125.01,155552384,-1.19
2020-08-28,126.01,126.44,124.58,124.81,187629920,-0.16
2020-08-31,127.58,131.0,126.0,129.04,225702688,3.39
2020-09-01,132.76,134.8,130.53,134.18,152470144,3.98
2020-09-02,137.59,137.98,127.0,131.4,200118992,-2.07
2020-09-03,126.91,128.84,120.5,120.88,257599648,-8.01
2020-09-04,120.07,123.7,110.89,120.96,332607168,0.07
2020-09-08,113.95,118.99,112.68,112.82,231366560,-6.73
2020-09-09,117.26,119.14,115.26,117.32,176940448,3.99
2020-09-10,120.36,120.5,112.5,113.49,182274384,-3.26
2020-09-11,114.57,115.23,110.0,112.0,180860320,-1.31
2020-09-14,114.72,115.93,112.8,115.36,140150080,3.0
2020-09-15,118.33,118.83,113.61,115.54,184642032,0.16
2020-09-16,115.23,116.0,112.04,112.13,155026672,-2.95
2020-09-17,109.72,112.2,108.71,110.34,178010976,-1.6
2020-09-18,110.4,110.88,106.09,106.84,287104896,-3.17
2020-09-21,104.54,110.19,103.1,110.08,195713808,3.03
2020-09-22,112.68,112.86,109.16,111.81,183055376,1.57
2020-09-23,111.62,112.11,106.77,107.12,150718672,-4.19
2020-09-24,105.17,110.25,105.0,108.22,167743344,1.03
2020-09-25,108.43,112.44,107.67,112.28,149981440,3.75
2020-09-28,115.01,115.32,112.78,114.96,137672400,2.39
2020-09-29,114.55,115.31,113.57,114.09,100060528,-0.76
2020-09-30,113.79,117.26,113.62,115.81,142675184,1.51
2020-10-01,117.64,117.72,115.83,116.79,116120440,0.85
2020-10-02,112.89,115.37,112.22,113.02,144711984,-3.23
2020-10-05,113.91,116.65,113.55,116.5,106243840,3.08
2020-10-06,115.7,116.12,112.25,113.16,161498208,-2.87
2020-10-07,114.62,115.55,114.13,115.08,96848984,1.7
2020-10-08,116.25,116.4,114.59,114.97,83477152,-0.1
2020-10-09,115.28,117.0,114.92,116.97,100506864,1.74
2020-10-12,120.06,125.18,119.28,124.4,240226768,6.35
2020-10-13,125.27,125.39,119.65,121.1,262330448,-2.65
2020-10-14,121.0,123.03,119.62,121.19,151062304,0.07
2020-10-15,118.72,121.2,118.15,120.71,112559216,-0.4
2020-10-16,121.28,121.55,118.81,119.02,115393808,-1.4
2020-10-19,119.96,120.42,115.66,115.98,120639336,-2.55
2020-10-20,116.2,118.98,115.63,117.51,124423728,1.32
2020-10-21,116.67,118.7,116.45,116.87,89945984,-0.54
2020-10-22,117.45,118.04,114.59,115.75,101987952,-0.96
2020-10-23,116.39,116.55,114.28,115.04,82572648,-0.61
2020-10-26,114.01,116.55,112.88,115.05,111850656,0.01
2020-10-27,115.49,117.28,114.54,116.6,92276768,1.35
2020-10-28,115.05,115.43,111.1,111.2,143937824,-4.63
2020-10-29,112.37,116.93,112.2,115.32,146129168,3.71
2020-10-30,111.06,111.99,107.72,108.86,190573472,-5.6
2020-11-02,109.11,110.68,107.32,108.77,122866896,-0.08
