,correlatoin,AAPL,MSFT,AMZN,GOOG,TSLA
742,0.9741459840029392,5,10,15,25,45
5348,0.9741455854151391,45,0,40,15,0
3981,0.9741421676719945,30,5,35,5,25
1122,0.974130944038349,5,35,20,0,40
1936,0.9741291713813178,10,45,15,5,25
3149,0.9741220455028203,20,35,15,10,20
4752,0.9741134213308938,35,25,15,25,0
4649,0.9741091754265772,35,15,25,5,20
5201,0.9741086430828433,40,25,20,10,5
1259,0.9740985505777037,5,45,15,5,30
4508,0.9740981379867291,35,5,25,10,25
4454,0.9740915719923253,35,0,40,10,15
4638,0.9740813663317706,35,15,15,25,10
957,0.9740503560118914,5,25,15,15,40
1157,0.974049281953645,5,35,45,0,15
4717,0.9740354159815702,35,20,35,0,10
1973,0.9740179095065945,15,0,15,30,40
3614,0.9740087660457405,25,20,40,0,15
4664,0.9739881580041662,35,15,40,5,5
1227,0.9739831232762308,5,40,45,0,10
4109,0.9739808402213906,30,15,20,10,25
3769,0.9739771035781174,25,35,20,0,20
3652,0.9739522101273898,25,25,15,15,20
4921,0.9739519523400372,40,0,30,10,20
4975,0.9739408572369708,40,5,15,35,5
1547,0.9739392012558745,10,15,45,5,25
524,0.9739361849959102,0,40,15,45,0
3507,0.9739333370429343,25,15,15,20,25
4361,0.9739223363933038,30,40,20,0,10
858,0.973894665714061,5,15,45,5,30
3055,0.9738884401510904,20,25,45,5,5
5045,0.9738862675983572,40,10,15,35,0
5005,0.9738848298058963,40,5,40,10,5
4795,0.973880413800169,35,30,20,5,10
73,0.9738755765908556,0,5,45,10,40
5206,0.9738729513407445,40,25,30,0,5
5330,0.9738698875190651,45,0,25,15,15
1383,0.973866097992624,10,5,35,5,45
1496,0.9738622093512044,10,15,15,20,40
2603,0.9738443535471814,15,45,15,5,20
4238,0.9738407269409586,30,25,20,5,20
5544,0.9738251632445676,45,20,20,15,0
5392,0.9738221991912753,45,5,20,20,10
5065,0.973821809369927,40,10,35,5,10
4302,0.9738066424564613,30,30,40,0,0
3870,0.9738063612254951,30,0,15,30,25
438,0.9738044375891958,0,35,15,10,40
5049,0.973793190448383,40,10,20,15,15
4327,0.9737800688639552,30,35,15,15,5
964,0.9737757943966011,5,25,20,5,45
3357,0.9737688629048399,25,5,20,15,35
3807,0.9737654238874071,25,40,15,10,10
592,0.9737554622730263,0,45,15,5,35
2889,0.9737435141347769,20,15,30,0,35
1502,0.9737270833557558,10,15,20,10,45
4285,0.9736901536393862,30,30,15,15,10
5060,0.9736883205867705,40,10,30,5,15
2985,0.9736837910377358,20,20,45,5,10
4128,0.9736711293750213,30,15,35,0,20
410,0.9736710044523907,0,30,45,0,25
3840,0.9736600025877171,25,45,15,10,5
2715,0.9736573909891052,20,5,20,15,40
4906,0.9736497181990916,40,0,20,20,20
2751,0.9736494271563837,20,5,40,5,30
3530,0.97363706771863,25,15,30,0,30
2238,0.973634881881352,15,15,45,5,20
4535,0.9736346334763347,35,5,45,15,0
5257,0.9736309261735928,40,35,25,0,0
2079,0.9736286538132451,15,5,40,5,35
1083,0.9736062411838955,5,30,45,0,20
5457,0.9736042767153567,45,10,25,10,10
838,0.9736011754645452,5,15,35,0,45
3119,0.9735885023884624,20,30,45,5,0
4255,0.9735884499757813,30,25,40,0,5
4899,0.9735836923314336,40,0,15,35,10
3956,0.9735721980544897,30,5,20,15,30
4758,0.9735337381753166,35,25,25,0,15
2213,0.9735151381855093,15,15,30,0,40
1299,0.9735150874086159,10,0,15,30,45
3400,0.9735128305419285,25,5,45,10,15
191,0.9735047703753819,0,15,45,5,35
5510,0.9734983744701171,45,15,30,5,5
2709,0.9734761875097729,20,5,15,25,35
4751,0.9734620565763678,35,25,15,20,5
5044,0.9734372503172243,40,10,15,30,5
4568,0.9734291968374239,35,10,15,25,15
4360,0.9734289460591123,30,40,15,15,0
5106,0.973426264122566,40,15,15,30,0
3765,0.9734247173355532,25,35,15,10,15
5577,0.9734217830918909,45,25,25,5,0
3375,0.9734086766815643,25,5,30,5,35
1291,0.9734041837206857,5,45,45,0,5
3350,0.9733989520037459,25,5,15,25,30
1842,0.973397285830493,10,35,45,0,10
5160,0.9733839012796491,40,20,20,10,10
4522,0.9733666656678635,35,5,35,5,20
446,0.9733644218790474,0,35,20,0,45
5503,0.9733629423462246,45,15,20,15,5
4102,0.9733571474263267,30,15,15,20,20
2230,0.9733350112084942,15,15,40,0,30
3392,0.9733278686870245,25,5,40,5,25
2420,0.9733249249747605,15,30,15,10,30
283,0.9733232224944932,0,25,15,15,45
4793,0.9733070218623046,35,30,15,20,0
2732,0.9732965368653504,20,5,30,5,40
4139,0.9732859609224246,30,15,45,10,0
1393,0.9732688738194181,10,5,40,5,40
2039,0.9732614181413417,15,5,15,25,40
4643,0.9732556077729745,35,15,20,10,20
4987,0.973248787402276,40,5,25,10,20
808,0.9732476889990728,5,15,15,20,45
3242,0.9732420222176703,20,45,15,5,15
2044,0.9732408851550693,15,5,20,15,45
4461,0.9732287070711463,35,0,45,15,5
2958,0.973219477822124,20,20,25,0,35
1729,0.9732026810904615,10,30,15,10,35
1538,0.9731977421797053,10,15,40,0,35
4122,0.9731929385818838,30,15,30,0,25
3973,0.973191305579557,30,5,30,5,30
1772,0.9731852996058806,10,30,45,0,15
4699,0.973184502718599,35,20,15,20,10
4233,0.9731626744582191,30,25,15,15,15
5234,0.9731569396094626,40,30,25,0,5
4414,0.9731546760347616,35,0,15,30,20
3087,0.9731389421095311,20,30,15,10,25
5342,0.9731361194502656,45,0,35,10,10
1874,0.973127448702348,10,40,15,5,30
2904,0.9731249446708944,20,15,40,0,25
4329,0.9731190854312836,30,35,20,0,15
3596,0.9731115457184111,25,20,25,0,30
5208,0.9731070290705325,40,25,35,0,0
1906,0.9730981522190196,10,40,45,0,5
4069,0.9730918560775899,30,10,45,10,5
2942,0.9730810142415743,20,20,15,15,30
4500,0.9730651464301298,35,5,20,15,25
2266,0.9730638139722848,15,20,15,15,35
4599,0.9730610395430607,35,10,40,5,10
2551,0.973044164074548,15,40,15,5,25
4974,0.9730304823907222,40,5,15,30,10
3948,0.973027320828913,30,5,15,25,25
5114,0.9730261452672617,40,15,25,5,15
5513,0.973008380161192,45,15,35,5,0
2283,0.9729987177934931,15,20,25,0,40
2911,0.9729793086662653,20,15,45,5,15
1519,0.9729558029170825,10,15,30,0,45
1189,0.9728982087948412,5,40,15,5,35
4754,0.972888166689493,35,25,20,5,15
4198,0.9728682470014293,30,20,40,0,10
2059,0.9728583086957245,15,5,30,5,45
2019,0.9728517788197322,15,0,45,10,30
3445,0.9728482167892155,25,10,25,5,35
3093,0.972821383035819,20,30,20,0,30
5167,0.9728164702101898,40,20,30,0,10
2427,0.9728159589966578,15,30,20,0,35
3582,0.9727946695927396,25,20,15,15,25
1035,0.9727753475537311,5,30,15,10,40
5157,0.9727618334941396,40,20,15,25,0
4934,0.9727606008643459,40,0,40,10,10
5336,0.9727602165610014,45,0,30,10,15
1357,0.972757797208887,10,5,15,25,45
5546,0.9727493580388682,45,20,25,5,5
1572,0.9727458421618409,10,20,15,15,40
2801,0.9727416335772331,20,10,25,5,40
5105,0.9727283460377139,40,15,15,25,5
848,0.9727169126838391,5,15,40,0,40
2950,0.9727154594668939,20,20,20,5,35
5256,0.9727114307374165,40,35,20,5,0
1340,0.9727071989087865,10,0,45,10,35
5318,0.9726860914665556,45,0,15,40,0
4183,0.9726721447763669,30,20,25,0,25
3988,0.9726617099515298,30,5,40,5,20
1007,0.9726599356469331,5,25,45,0,25
2686,0.9726561408287532,20,0,45,10,25
4659,0.9726515209434542,35,15,35,0,15
3200,0.9726457157006335,20,40,15,5,20
3713,0.9726424487344421,25,30,15,10,20
4515,0.9726419768612973,35,5,30,5,25
4867,0.9726373639445529,35,45,20,0,0
4042,0.9726313199080205,30,10,25,5,30
3589,0.9726126168338641,25,20,20,5,30
714,0.9725744346622659,5,5,40,5,45
3543,0.9725648510757333,25,15,40,0,20
4359,0.9725502648768928,30,40,15,10,5
878,0.9725460869211614,5,20,10,40,25
5323,0.9725416852398204,45,0,20,20,15
4850,0.9725182064162581,35,40,20,0,5
2785,0.9725034780774823,20,10,15,20,35
3718,0.9725019429420882,25,30,20,0,25
2274,0.9725011921694309,15,20,20,5,40
334,0.9724998492881086,0,25,45,0,30
953,0.9724942267489451,5,25,10,35,25
1737,0.972488704592583,10,30,20,0,40
4637,0.9724784902103294,35,15,15,20,15
281,0.9724728934451118,0,25,10,40,25
356,0.972467191802122,0,30,10,35,25
1698,0.9724670713540559,10,25,45,0,20
5452,0.9724573588603983,45,10,20,15,10
1588,0.9724530093120719,10,20,25,0,45
3619,0.9724461904867066,25,20,45,5,5
954,0.9724405994209656,5,25,10,40,20
5170,0.9724399355586557,40,20,35,0,5
1031,0.9724303495826804,5,30,10,35,20
807,0.9724247212253764,5,15,10,45,25
3683,0.9724199936307646,25,25,45,5,0
3428,0.9724179771720988,25,10,15,20,30
1569,0.9724169815887234,10,20,10,40,20
4326,0.9724136851673847,30,35,15,10,10
4654,0.9724092989371453,35,15,30,0,20
2457,0.972406082065697,15,30,45,0,10
3995,0.9724058325848459,30,5,45,10,10
209,0.9724012908942896,0,20,10,40,30
4792,0.9723911700675911,35,30,15,15,5
5232,0.9723906214516769,40,30,20,5,5
2521,0.9723853790102237,15,35,45,0,5
516,0.9723599571876242,0,40,15,5,40
4492,0.9723596873893185,35,5,15,25,20
1646,0.9723588666122048,10,25,10,35,20
280,0.972351214746996,0,25,10,35,30
5387,0.972349325169661,45,5,15,35,0
5575,0.972326209076691,45,25,20,10,0
3839,0.972321020184199,25,45,15,5,10
2125,0.9723148887088685,15,10,25,5,45
1493,0.972307191072241,10,15,10,40,25
210,0.9723070126681529,0,20,10,45,25
1494,0.9723012640602191,10,15,10,45,20
1473,0.9722962661779859,10,10,45,5,30
2111,0.9722928832145358,15,10,15,20,40
1962,0.9722854054265304,10,45,45,0,0
433,0.9722813417663462,0,35,10,30,25
4825,0.9722792374209003,35,35,15,15,0
144,0.9722787822326631,0,15,10,45,30
879,0.972278652638017,5,20,10,45,20
5043,0.9722712423197143,40,10,15,25,10
1030,0.9722605858966101,5,30,10,30,25
806,0.9722595178854805,5,15,10,40,30
5461,0.9722520501735594,45,10,30,5,10
4999,0.9722501804806375,40,5,35,5,15
4980,0.972246332969939,40,5,20,15,20
4384,0.9722400369501775,30,45,15,10,0
1108,0.9722393032439035,5,35,10,30,20
1422,0.9722354917465443,10,10,10,45,25
670,0.9722260913060777,5,0,45,10,40
2162,0.9722130895316845,15,10,45,5,25
5109,0.9722119467645881,40,15,20,10,15
4898,0.9722103987331463,40,0,15,30,15
5203,0.9722083570515117,40,25,25,0,10
1568,0.9722040758679622,10,20,10,35,25
4171,0.9722028377940862,30,20,15,15,20
4177,0.9721900216680381,30,20,20,5,25
741,0.9721849442009534,5,10,10,45,30
434,0.9721842435574122,0,35,10,35,20
5317,0.9721818640826787,45,0,15,35,5
5126,0.9721730948511199,40,15,40,5,0
3436,0.9721704959472758,25,10,20,10,35
877,0.9721599110248024,5,20,10,35,30
357,0.9721518373919698,0,30,10,40,20
2819,0.9721513537552112,20,10,35,0,35
5465,0.9721391847991206,45,10,35,5,5
1647,0.9721329499426101,10,25,10,40,15
880,0.9721306778669441,5,20,15,15,45
355,0.9721200396691448,0,30,10,30,30
1723,0.9721183345469186,10,30,10,30,20
3324,0.9721176344633891,25,0,45,10,20
1724,0.9721136144663894,10,30,10,35,15
4581,0.9720885656047057,35,10,25,5,25
2184,0.9720804589958542,15,15,10,40,20
5397,0.972075431796704,45,5,25,10,15
2792,0.9720670021917178,20,10,20,10,40
4750,0.9720647634354315,35,25,15,15,10
359,0.9720468860465807,0,30,15,10,45
3461,0.9720403775603685,25,10,35,0,30
3287,0.9720392829912401,25,0,25,10,40
511,0.9720375360120063,0,40,10,30,20
788,0.9720346070269407,5,10,45,5,35
3885,0.972034297887026,30,0,25,10,35
4026,0.97203395701006,30,10,15,20,25
2109,0.9720161099595747,15,10,10,45,20
2262,0.9720119405932943,15,20,10,40,15
5412,0.971986176063106,45,5,40,10,0
1570,0.9719795074456434,10,20,10,45,15
1579,0.9719733580225524,10,20,20,5,45
3549,0.9719712062502324,25,15,45,5,10
2261,0.9719693969287846,15,20,10,35,20
1109,0.9719658181243548,5,35,10,35,15
4034,0.9719619938133246,30,10,20,10,30
5578,0.971957409187848,45,25,30,0,0
282,0.971948918712604,0,25,10,45,20
2339,0.9719430634234111,15,25,10,35,15
1032,0.9719408054684145,5,30,10,40,15
143,0.971939906820377,0,15,10,40,35
4826,0.9719308081258178,35,35,20,0,10
3806,0.9719303636386828,25,40,15,5,15
2144,0.9719233971279228,15,10,35,0,40
2387,0.9719184332461961,15,25,45,0,15
1645,0.9719176165371767,10,25,10,30,25
1799,0.9719128782627966,10,35,10,30,15
510,0.9719066583737029,0,40,10,25,25
2185,0.971906414465838,15,15,10,45,15
4708,0.9718994937646008,35,20,25,0,20
180,0.97189734250033,0,15,40,0,45
3306,0.9718925585708925,25,0,35,5,35
5198,0.9718839466176449,40,25,15,20,0
952,0.9718776305516332,5,25,10,30,30
86,0.9718668831871764,0,10,10,45,35
4767,0.9718613768291273,35,25,40,0,0
1183,0.9718587416079975,5,40,10,25,20
4288,0.9718555577379929,30,30,20,0,20
2577,0.9718525256895462,15,40,45,0,0
1043,0.9718435765058486,5,30,20,0,45
208,0.9718394200429495,0,20,10,35,35
1107,0.9718364981037613,5,35,10,25,25
4284,0.9718340368193441,30,30,15,10,15
5448,0.9718158320574725,45,10,15,30,0
5543,0.9718123520859694,45,20,20,10,5
1184,0.971811100661376,5,40,10,30,15
1421,0.97180660713081,10,10,10,40,30
5156,0.9718051863825882,40,20,15,20,5
2489,0.9718023948294614,15,35,15,5,30
1423,0.9717894010601426,10,10,15,20,45
1356,0.9717849930174429,10,5,10,45,30
2835,0.9717819990903438,20,10,45,5,20
2666,0.9717819910839863,20,0,35,5,40
4993,0.9717592455017895,40,5,30,5,20
2108,0.9717563041639754,15,10,10,40,25
955,0.9717446908844504,5,25,10,45,15
2037,0.971739284577385,15,5,10,45,25
2648,0.9717292966528283,20,0,25,10,45
3017,0.9717235482174361,20,25,15,10,30
2344,0.971714630214688,15,25,15,10,35
4430,0.9717114316372041,35,0,25,10,30
586,0.9717029876038763,0,45,10,25,20
432,0.9716991403637543,0,35,10,25,30
2414,0.9716911797486774,15,30,10,30,15
1804,0.9716877310755303,10,35,15,5,35
1798,0.9716866897115507,10,35,10,25,20
2338,0.9716743686594538,15,25,10,30,20
3903,0.9716695380172421,30,0,35,5,30
2117,0.9716546560376589,15,10,20,10,45
4133,0.9716531523698508,30,15,40,0,15
1492,0.9716525064280197,10,15,10,35,30
4528,0.9716497647661486,35,5,40,5,15
5506,0.9716129497652736,45,15,25,5,10
5200,0.9716111568072018,40,25,20,5,10
3148,0.9716048950887456,20,35,15,5,25
5386,0.9716017652959915,45,5,15,30,5
2183,0.9715969845322573,15,15,10,35,25
4056,0.9715875601639407,30,10,35,0,25
740,0.9715845425326324,5,10,10,40,35
2859,0.9715775330190731,20,15,10,40,15
683,0.9715627270484449,5,5,10,45,35
279,0.9715569770860399,0,25,10,30,35
2340,0.9715483557399933,15,25,10,40,10
3273,0.9715440749362664,25,0,15,25,35
2782,0.971525039696356,20,10,10,45,15
1869,0.9715220003767614,10,40,10,25,15
2415,0.9715153748693633,15,30,10,35,10
512,0.9715007181126711,0,40,10,35,15
5069,0.9714754920339059,40,10,40,5,5
1254,0.9714678993774448,5,45,10,25,15
1800,0.971466518099219,10,35,10,35,10
4940,0.9714611496581491,40,0,45,15,0
2936,0.9714540576498725,20,20,10,35,15
1725,0.9714534863574404,10,30,10,40,10
4703,0.9714459580104567,35,20,20,5,20
4574,0.9714392283140976,35,10,20,10,25
1722,0.9714391803252163,10,30,10,25,25
2636,0.9714384901611726,20,0,15,25,40
435,0.9714366572766604,0,35,10,40,15
127,0.9714322538890012,0,10,45,5,40
2781,0.9714314119522668,20,10,10,40,20
805,0.9714313067201831,5,15,10,35,35
1935,0.9714288859299993,10,45,15,0,30
3651,0.971424934909127,25,25,15,10,25
2706,0.9714234229852476,20,5,10,45,20
28,0.9714131487098936,0,0,45,10,45
4604,0.9714103632815081,35,10,45,10,0
2263,0.9714080117406559,15,20,10,45,10
1029,0.9714040802317686,5,30,10,25,30
1650,0.9714009908343586,10,25,15,10,40
4973,0.9713952453000527,40,5,15,25,15
587,0.9713867751370736,0,45,10,30,15
4720,0.9713736797856384,35,20,40,0,5
1453,0.9713604452021123,10,10,35,0,45
3869,0.9713585585652682,30,0,15,25,30
4567,0.9713498014356753,35,10,15,20,20
1998,0.9713413225136227,15,0,35,5,45
2602,0.9713347668233644,15,45,15,0,25
585,0.9713343645644257,0,45,10,20,25
2937,0.9713296204807764,20,20,10,40,10
1567,0.9713142329651394,10,20,10,30,30
2863,0.971309167819243,20,15,15,15,35
4698,0.9713044270714191,35,20,15,15,15
2485,0.9713004347306488,15,35,10,30,10
1870,0.9712992458895259,10,40,10,30,10
5104,0.9712971049831469,40,15,15,20,10
5118,0.9712853748627179,40,15,30,0,15
5122,0.9712846656825722,40,15,35,0,10
1253,0.9712798540978439,5,45,10,20,20
5599,0.9712738819352197,45,30,25,0,0
1648,0.9712687947423047,10,25,10,45,10
3118,0.9712676636358911,20,30,45,0,5
1113,0.9712640839768534,5,35,15,5,40
2858,0.9712624778326222,20,15,10,35,20
2260,0.9712528355067648,15,20,10,30,25
1622,0.9712497900381549,10,20,45,0,25
2484,0.9712475762487043,15,35,10,25,15
3012,0.9712454600600415,20,25,10,35,10
2860,0.971238844408842,20,15,10,45,10
3919,0.971234677690874,30,0,45,10,15
931,0.971218566845988,5,20,45,0,30
5054,0.9712185422971439,40,10,25,5,20
3506,0.9712146114660143,25,15,15,15,30
1182,0.9712132131246978,5,40,10,20,25
3279,0.9712098107501856,25,0,20,15,40
1258,0.9712066123679184,5,45,15,0,35
3876,0.971205154312782,30,0,20,15,35
358,0.9712032124162328,0,30,10,45,15
2413,0.9711867165539648,15,30,10,25,20
3011,0.9711460442262779,20,25,10,30,15
5548,0.9711276236353764,45,20,30,0,5
5391,0.9711152729418655,45,5,20,15,15
4446,0.9711104442163735,35,0,35,5,25
2676,0.9711087159405368,20,0,40,5,35
2187,0.9711036404633508,15,15,15,15,40
1185,0.9710996445064852,5,40,10,35,10
876,0.971094604767202,5,20,10,30,35
85,0.9710929959487028,0,10,10,40,40
3764,0.9710929285864435,25,35,15,5,20
4824,0.9710890114241431,35,35,15,10,5
5347,0.9710883093068541,45,0,40,10,5
354,0.9710840296060322,0,30,10,25,35
4383,0.9710811220087653,30,45,15,5,5
509,0.9710798075670606,0,40,10,20,30
1971,0.9710794866722172,15,0,10,45,30
5499,0.9710767295227798,45,15,15,25,0
38,0.9710753079947576,0,5,10,45,40
4913,0.9710686878089217,40,0,25,10,25
1868,0.9710551530288352,10,40,10,20,20
1110,0.9710458833479568,5,35,10,40,10
1972,0.9710446559330254,15,0,15,25,45
2036,0.9710432733336938,15,5,10,40,30
4849,0.971020935532958,35,40,15,10,0
3174,0.9710134014908036,20,35,45,0,0
3054,0.9710123486155702,20,25,45,0,10
3315,0.9710016114082631,25,0,40,5,30
3475,0.971001013670547,25,10,45,5,15
3453,0.9709939736908944,25,10,30,0,35
3082,0.9709777526454628,20,30,10,30,10
2827,0.970977213796848,20,10,40,0,30
1255,0.9709748153604554,5,45,10,30,10
5316,0.9709734982243658,45,0,15,30,10
2153,0.970969754592546,15,10,40,0,35
1298,0.9709539130296779,10,0,10,45,35
4534,0.9709519534242842,35,5,45,10,5
1932,0.9709429012405485,10,45,10,25,10
2634,0.9709369316507548,20,0,10,45,25
142,0.9709363341171223,0,15,10,35,40
1931,0.9709321490157243,10,45,10,20,15
2313,0.9709285776474795,15,20,45,0,20
3241,0.9709215901590048,20,45,15,0,20
1355,0.9709196418492543,10,5,10,40,35
2641,0.9709106945030443,20,0,20,15,45
2935,0.9709081093285996,20,20,10,30,20
4358,0.9708972858939463,30,40,15,5,10
2547,0.9708947840910012,15,40,10,25,10
2705,0.9708944245976389,20,5,10,40,25
4421,0.9708939653320995,35,0,20,15,30
2810,0.970893043397779,20,10,30,0,40
4794,0.9708811215524921,35,30,20,0,15
4413,0.9708798521314311,35,0,15,25,25
2008,0.9708783043799556,15,0,40,5,40
4202,0.97085486819841,30,20,45,5,0
5502,0.9708499945490067,45,15,20,10,10
260,0.970838427134938,0,20,45,0,35
3346,0.9708358901361147,25,5,10,45,15
3423,0.9708303914453258,25,10,10,40,15
2107,0.9708298816086743,15,10,10,35,30
1033,0.9708221716729685,5,30,10,45,10
4101,0.9708175180269156,30,15,15,15,25
4232,0.9708168348932535,30,25,15,10,20
5447,0.9708152814445188,45,10,15,25,5
3501,0.9707973191096773,25,15,10,40,10
5407,0.9707929795014749,45,5,35,5,10
5163,0.9707928273040781,40,20,25,0,15
4593,0.9707910531550136,35,10,35,0,20
956,0.9707862683338423,5,25,15,10,45
5230,0.9707835624306016,40,30,15,15,0
5272,0.9707835275899458,40,40,20,0,0
1644,0.970783234346112,10,25,10,25,30
4049,0.9707618954849888,30,10,30,0,30
3424,0.9707611938511597,25,10,10,45,10
1797,0.9707600593185837,10,35,10,20,25
1106,0.9707305884114877,5,35,10,20,30
2337,0.9707152727460026,15,25,10,25,25
4791,0.9707131897282508,35,30,15,10,10
1420,0.9707088466621694,10,10,10,35,35
3024,0.970693747353668,20,25,20,0,35
2416,0.9706887446575664,15,30,10,40,5
3013,0.9706859275889584,20,25,10,40,5
2486,0.9706852005630251,15,35,10,35,5
2780,0.970674126983789,20,10,10,35,25
591,0.9706715082244154,0,45,15,0,40
5197,0.9706588098820662,40,25,15,15,5
3576,0.9706569589574285,25,20,10,35,10
3500,0.9706474280440934,25,15,10,35,15
3081,0.9706448220963104,20,30,10,25,15
3468,0.9706388693448842,25,10,40,0,25
3083,0.9706347426585366,20,30,10,35,5
1463,0.9706198381453317,10,10,40,0,40
4138,0.9706104403805672,30,15,45,5,5
2546,0.9706034574136827,15,40,10,20,15
3522,0.9706025194911009,25,15,25,0,35
1495,0.9706012902345369,10,15,15,15,45
5048,0.9706008306434958,40,10,20,10,20
207,0.9705969613394032,0,20,10,30,40
3657,0.9705788285139308,25,25,20,0,30
5598,0.9705763241571163,45,30,20,5,0
951,0.9705659276827222,5,25,10,25,35
2938,0.9705632771571292,20,20,10,45,5
635,0.970562794780092,5,0,10,45,40
3911,0.9705540841338655,30,0,40,5,25
5576,0.9705474182733285,45,25,25,0,5
5402,0.9705426857127024,45,5,30,5,15
437,0.9705354809674648,0,35,15,5,45
682,0.970526169825575,5,5,10,40,40
3270,0.9705243105324176,25,0,10,45,20
2341,0.9705201042094579,15,25,10,45,5
3144,0.9705177792463198,20,35,10,25,10
2880,0.9705064735606369,20,15,25,0,40
2548,0.9705008232367064,15,40,10,30,5
2483,0.970497708676968,15,35,10,20,20
5550,0.9704969974050526,45,20,35,0,0
3349,0.9704938228130071,25,5,15,20,35
2352,0.9704879038775711,15,25,20,0,40
3345,0.9704711238768878,25,5,10,40,20
2134,0.9704625575603111,15,10,30,0,45
2182,0.9704309028332377,15,15,10,30,30
1871,0.9704172630710842,10,40,10,35,5
588,0.9704164417226214,0,45,10,35,10
5255,0.9704127994047625,40,35,20,0,5
431,0.9704119541633416,0,35,10,20,35
3296,0.9704048375729961,25,0,30,5,40
3145,0.970401087706753,20,35,10,30,5
2708,0.9703941121883262,20,5,15,20,40
3894,0.9703917387814263,30,0,30,5,35
4663,0.9703894041124226,35,15,40,0,10
1252,0.970381927295353,5,45,10,15,25
5159,0.9703796554148241,40,20,20,5,15
1801,0.9703784216077909,10,35,10,40,5
4115,0.9703715339330956,30,15,25,0,30
3577,0.970369381476826,25,20,10,40,5
5042,0.9703647180422784,40,10,15,20,15
3010,0.9703597018647188,20,25,10,25,20
3646,0.9703315411709098,25,25,10,30,10
513,0.9703273193096789,0,40,10,40,10
3514,0.9703233850034464,25,15,20,5,35
1329,0.970314304823623,10,0,40,5,45
739,0.9703137161655743,5,10,10,35,40
1491,0.970313157568099,10,15,10,30,35
2088,0.9703118022924301,15,5,45,5,30
3947,0.970298423474504,30,5,15,20,30
3502,0.9702979065266703,25,15,10,45,5
5004,0.970291945481949,40,5,40,5,10
2599,0.9702895824567339,15,45,10,20,10
3575,0.9702784788153418,25,20,10,30,15
1933,0.970276969194042,10,45,10,30,5
4905,0.9702743337930815,40,0,20,15,25
2857,0.970267602323844,20,15,10,30,25
3647,0.9702654264130618,25,25,10,35,5
4325,0.9702650919058325,30,35,15,5,15
584,0.9702532783324774,0,45,10,15,30
2984,0.9702525329119832,20,20,45,0,15
3422,0.9702395782501899,25,10,10,35,20
2871,0.9702288474400573,20,15,20,5,40
1930,0.9702148928524246,10,45,10,15,20
4927,0.9702138203177284,40,0,35,5,20
4587,0.9701943553278723,35,10,30,0,25
3838,0.9701876145595187,25,45,15,0,15
1403,0.9701787780530989,10,5,45,5,35
1726,0.9701690934484515,10,30,10,45,5
4237,0.9701404849516906,30,25,20,0,25
5385,0.9701339984713716,45,5,15,25,10
2419,0.9701272709194929,15,30,15,5,35
3086,0.970127012420205,20,30,15,5,30
2600,0.9701268413423358,15,45,10,25,5
5540,0.970123099354278,45,20,15,20,0
4636,0.9701162645769643,35,15,15,15,20
4897,0.9701066488970613,40,0,15,25,20
5329,0.9701050042531317,45,0,25,10,20
4108,0.9701022141102781,30,15,20,5,30
2759,0.9701010228063046,20,5,45,5,25
5155,0.9700992089484914,40,20,15,15,10
2656,0.9700935978475791,20,0,30,5,45
2203,0.9700867466463308,15,15,25,0,45
436,0.970069991502229,0,35,10,45,10
278,0.9700664231878207,0,25,10,25,40
4438,0.9700512777258279,35,0,30,5,30
1721,0.9700508919737183,10,30,10,20,30
2550,0.9700328318468197,15,40,15,0,30
5456,0.9700208209835702,45,10,25,5,15
5574,0.9700105084051138,45,25,20,5,5
4460,0.9700067765475265,35,0,45,10,10
2038,0.9700021886460836,15,5,15,20,45
3365,0.9699830826657437,25,5,25,5,40
3709,0.9699774350038474,25,30,10,30,5
3197,0.9699762132567187,20,40,10,25,5
3943,0.9699758422412464,30,5,10,45,10
2412,0.9699756462410662,15,30,10,20,25
2633,0.9699711217865076,20,0,10,40,30
3964,0.9699670726565416,30,5,25,5,35
1658,0.9699648840307222,10,25,20,0,45
4062,0.9699524564131358,30,10,40,0,20
4020,0.9699524003519383,30,10,10,40,10
1970,0.9699465246466792,15,0,10,40,35
3143,0.9699416477674072,20,35,10,20,15
777,0.9699318573346466,5,10,40,0,45
1873,0.9699267263229383,10,40,15,0,35
804,0.9699171133370641,5,15,10,30,40
0,0.9699093419814159,0,0,10,45,45
4749,0.9698981671012071,35,25,15,10,15
2941,0.9698845958379805,20,20,15,10,35
1867,0.9698715015216846,10,40,10,15,25
4068,0.9698692725181591,30,10,45,5,10
37,0.9698661434428575,0,5,10,40,45
3196,0.9698567405095982,20,40,10,20,10
1181,0.9698484388168541,5,40,10,15,30
3865,0.9698403489389654,30,0,10,45,15
2259,0.9698378432620164,15,20,10,25,30
1028,0.9698367003134146,5,30,10,20,35
1256,0.9698323301040745,5,45,10,35,5
3199,0.9698229799119145,20,40,15,0,25
2194,0.9698217816963077,15,15,20,5,45
5509,0.9698214586245351,45,15,30,0,10
3499,0.9698212205102498,25,15,10,30,20
1728,0.969818985881116,10,30,15,5,40
3712,0.9698153673082303,25,30,15,5,25
5498,0.9698135766654892,45,15,15,20,5
3708,0.9698123941071979,25,30,10,25,10
4648,0.9698111308006576,35,15,25,0,25
4491,0.9698058020916819,35,5,15,20,25
3581,0.9697801662357519,25,20,15,10,30
3942,0.9697720843398288,30,5,10,40,15
