,correlatoin,AAPL,MSFT,AMZN,GOOG,TSLA
2969,0.9859322639087211,20,20,30,15,15
1276,0.9859254626891547,5,45,25,15,10
2225,0.9859143766076998,15,15,35,15,20
1467,0.9859118609717389,10,10,40,20,20
3891,0.9859111827428472,30,0,25,40,5
1826,0.9859110673698075,10,35,25,30,0
3300,0.9859092192626543,25,0,30,25,20
2745,0.9859066933240914,20,5,35,20,20
226,0.9858980516972309,0,20,25,20,35
103,0.9858961559086422,0,10,30,20,40
1891,0.9858945165462233,10,40,25,15,10
2832,0.985893767547882,20,10,40,25,5
2805,0.9858897796876761,20,10,25,25,20
379,0.9858889897351821,0,30,25,15,30
1763,0.9858709638158171,10,30,35,10,15
2571,0.9858685799759838,15,40,30,15,0
3977,0.9858637897997689,30,5,30,25,10
3465,0.9858492321340252,25,10,35,20,10
1956,0.9858399806965992,10,45,30,15,0
23,0.9858308643089402,0,0,40,25,35
3985,0.985828479411863,30,5,35,25,5
120,0.9858232853773508,0,10,40,20,30
1835,0.9858221708057533,10,35,35,10,10
649,0.9858083140405862,5,0,30,25,40
1277,0.9857921474821387,5,45,25,20,5
3036,0.9857907362071783,20,25,25,20,10
1697,0.9857789119110829,10,25,40,25,0
78,0.9857622197631362,0,5,45,35,15
3457,0.9857600108992136,25,10,30,20,15
2976,0.9857563422006419,20,20,35,15,10
2511,0.9857529214374436,15,35,30,10,10
1986,0.9857527727490707,15,0,25,30,30
2312,0.9857520366849913,15,20,40,25,0
675,0.9857386256723363,5,0,45,35,15
613,0.9857320201101409,0,45,25,25,5
4061,0.9857200730255371,30,10,35,25,0
1696,0.985714978693486,10,25,40,20,5
3048,0.9857024939301989,20,25,35,15,5
2508,0.9856980266248124,15,35,25,25,0
1955,0.9856931527874071,10,45,30,10,5
3613,0.9856861854727859,25,20,35,20,0
625,0.9856824450949646,0,45,35,20,0
1081,0.9856802346851622,5,30,40,20,5
79,0.9856769735453816,0,5,45,40,10
1902,0.985662789912412,10,40,35,15,0
173,0.9856542165409162,0,15,35,15,35
2234,0.9856489299959502,15,15,40,20,10
329,0.9856403558518245,0,25,40,15,20
3602,0.9856385298480846,25,20,25,30,0
3970,0.9856346724589541,30,5,25,35,5
2652,0.9856254330165488,20,0,25,30,25
3527,0.985624440213858,25,15,25,25,10
2444,0.985622113398282,15,30,30,10,15
2517,0.9856054930964903,15,35,35,15,0
3397,0.985600682271165,25,5,40,30,0
2962,0.9855959110729667,20,20,25,20,15
406,0.985578863240501,0,30,40,15,15
1310,0.9855714507486237,10,0,25,30,35
994,0.9855669971213253,5,25,35,10,25
3601,0.9855614450294713,25,20,25,25,5
616,0.9855611600542997,0,45,30,5,20
2680,0.9855565532302317,20,0,40,25,15
3105,0.9855513126107585,20,30,25,25,0
3892,0.9855510669618385,30,0,25,45,0
3890,0.9855492750659618,30,0,25,35,10
3104,0.9855229719687671,20,30,25,20,5
1522,0.9855178830436756,10,15,30,15,30
3168,0.985515114874651,20,35,30,15,0
3971,0.985514514228144,30,5,25,40,0
610,0.9855054642311927,0,45,25,10,20
2438,0.9854990063548255,15,30,25,15,15
2506,0.9854898160216637,15,35,25,15,10
2216,0.9854840885880114,15,15,30,15,25
1893,0.9854821040210144,10,40,25,25,0
3907,0.985466036741939,30,0,35,25,10
4520,0.9854649306278133,35,5,30,30,0
1138,0.9854641047012241,5,35,25,35,0
409,0.9854536643331001,0,30,40,30,0
4443,0.9854514991772815,35,0,30,30,5
2157,0.9854492576492391,15,10,40,20,15
1061,0.9854388605895618,5,30,25,40,0
1687,0.9854274784837005,10,25,35,10,20
1082,0.9854251934242007,5,30,40,25,0
677,0.9854217346698978,5,0,45,45,5
1003,0.9854067948151909,5,25,40,15,15
2570,0.9853967540180104,15,40,30,10,5
2062,0.9853685101412559,15,5,30,20,30
319,0.9853645508026936,0,25,35,10,30
2311,0.985362931137552,15,20,40,20,5
97,0.9853559343985138,0,10,25,25,40
58,0.9853538615178555,0,5,35,20,40
730,0.9853510452116793,5,5,45,35,10
2909,0.9853438795052932,20,15,40,25,0
1287,0.985332463232306,5,45,35,15,0
2900,0.9853248364461942,20,15,35,15,15
1513,0.9853229658690746,10,15,25,20,30
1280,0.9853132755676488,5,45,30,5,15
536,0.9852955121406218,0,40,25,10,25
2207,0.9852932083817648,15,15,25,20,25
1211,0.985289472748585,5,40,25,30,0
1671,0.9852872377735211,10,25,25,15,25
4451,0.985285678267569,35,0,35,30,0
4048,0.9852786954740947,30,10,25,35,0
1901,0.9852776845478112,10,40,35,10,5
1207,0.9852739692843501,5,40,25,10,20
1286,0.9852728727783533,5,45,35,10,5
1275,0.985269458990337,5,45,25,10,15
1679,0.9852671545732582,10,25,30,10,25
484,0.9852596201715005,0,35,40,20,5
1346,0.9852389162454179,10,0,45,40,5
3449,0.9852336619067901,25,10,25,25,15
2735,0.9852249801242406,20,5,30,20,25
982,0.9852235892717964,5,25,25,45,0
831,0.9852225339254335,5,15,30,15,35
3387,0.9852147239768047,25,5,35,20,15
254,0.9852121464748222,0,20,40,15,25
1345,0.9852118874408055,10,0,45,35,10
976,0.9852080463667936,5,25,25,15,30
543,0.9852026890135633,0,40,30,5,25
926,0.9851995698222132,5,20,40,15,20
985,0.9851889350884617,5,25,30,10,30
1377,0.9851877598362829,10,5,30,20,35
3291,0.9851870210489538,25,0,25,30,20
1213,0.9851763798419334,5,40,30,5,20
2450,0.9851630652214752,15,30,35,10,10
3114,0.9851599722719832,20,30,35,15,0
819,0.9851579432046056,5,15,20,40,20
1951,0.9851573067336499,10,45,25,15,5
154,0.9851516167608445,0,15,20,40,25
4047,0.9851480653653498,30,10,25,30,5
3673,0.9851375217565784,25,25,30,15,5
3898,0.9851297832103589,30,0,30,25,15
1080,0.9851219387050455,5,30,40,15,10
133,0.9851188085626957,0,10,45,35,10
2892,0.9851181945738333,20,15,30,15,20
892,0.9851171918835187,5,20,20,35,20
221,0.9851154754404482,0,20,20,35,25
751,0.98508988537975,5,10,20,40,25
644,0.9850847210916331,5,0,25,30,40
4126,0.9850743803927745,30,15,30,20,5
731,0.9850688133580021,5,5,45,40,5
77,0.9850623262993073,0,5,45,30,20
3669,0.9850417213156748,25,25,25,25,0
2364,0.9850407927834229,15,25,25,15,20
823,0.9850346865665166,5,15,25,20,35
483,0.9850243374244284,0,35,40,15,10
3606,0.985015589416078,25,20,30,15,10
3969,0.9850142148493027,30,5,25,30,10
1396,0.9850137515216089,10,5,40,20,25
752,0.9850113363002233,5,10,20,45,20
2566,0.9850098950463031,15,40,25,15,5
2371,0.9850084501216888,15,25,30,10,20
818,0.9850018594581298,5,15,20,35,25
95,0.9850010931566993,0,10,20,45,25
295,0.9849959548816767,0,25,20,35,20
2567,0.9849949330071042,15,40,25,20,0
10,0.9849932743044751,0,0,30,25,45
1434,0.9849920319644094,10,10,20,40,20
692,0.9849894813303904,5,5,20,45,25
222,0.9849885679931748,0,20,20,40,20
2054,0.984982359585866,15,5,25,25,30
2378,0.984943199701665,15,25,35,10,15
2884,0.984942595630344,20,15,25,20,20
